Date, Open, High, Low, Close
11/05/24, 41835.49, 42258.84, 41766.96, 42221.88
11/04/24, 42004.66, 42035.87, 41647.30, 41794.60
11/01/24, 41869.82, 42326.31, 41869.82, 42052.19
10/31/24, 41956.34, 41991.91, 41704.63, 41763.46
10/30/24, 42249.81, 42457.92, 42141.54, 42141.54
10/29/24, 42323.48, 42491.86, 42171.65, 42233.05
10/28/24, 42264.54, 42476.46, 42264.54, 42387.57
10/25/24, 42477.51, 42594.64, 42051.39, 42114.40
10/24/24, 42522.55, 42522.55, 42191.83, 42374.36
10/23/24, 42834.40, 42834.40, 42293.17, 42514.95
10/22/24, 42876.84, 43041.05, 42718.26, 42924.89
10/21/24, 43222.21, 43310.87, 42877.57, 42931.60
10/18/24, 43187.12, 43325.09, 43036.35, 43275.91
10/17/24, 43119.81, 43289.76, 43119.81, 43239.05
10/16/24, 42706.49, 43100.84, 42692.37, 43077.70
10/15/24, 43240.17, 43277.78, 42703.17, 42740.42
10/14/24, 42800.89, 43139.00, 42707.14, 43065.22
10/11/24, 42507.53, 42899.75, 42507.53, 42863.86
10/10/24, 42511.37, 42511.37, 42308.04, 42454.12
10/09/24, 42070.32, 42562.01, 41993.35, 42512.00
10/08/24, 42022.65, 42128.56, 41874.72, 42080.37
10/07/24, 42289.51, 42293.64, 41831.74, 41954.24
10/04/24, 42248.26, 42361.38, 41972.11, 42352.75
10/03/24, 42099.53, 42125.84, 41847.81, 42011.59
10/02/24, 42125.14, 42259.52, 41968.79, 42196.52
10/01/24, 42262.97, 42322.36, 41945.63, 42156.97
09/30/24, 42289.75, 42347.66, 41929.07, 42330.15
09/27/24, 42227.95, 42628.32, 42227.95, 42313.00
09/26/24, 42113.42, 42224.15, 42036.28, 42175.11
09/25/24, 42236.09, 42299.64, 41859.73, 41914.75
09/24/24, 42234.99, 42281.06, 42056.82, 42208.22
09/23/24, 42060.40, 42190.05, 42012.22, 42124.65
09/20/24, 41959.43, 42138.41, 41865.95, 42063.36
09/19/24, 41972.56, 42160.91, 41832.09, 42025.19
09/18/24, 41628.91, 41981.97, 41449.00, 41503.10
09/17/24, 41723.78, 41835.28, 41470.69, 41606.18
09/16/24, 41435.17, 41733.97, 41435.17, 41622.08
09/13/24, 41153.70, 41533.84, 41128.70, 41393.78
09/12/24, 40862.11, 41107.35, 40665.53, 41096.77
09/11/24, 40638.76, 40903.68, 39993.07, 40861.71
09/10/24, 40916.50, 40916.50, 40417.48, 40736.96
09/09/24, 40555.11, 41000.24, 40518.06, 40829.59
09/06/24, 40756.81, 41009.39, 40297.33, 40345.41
09/05/24, 41056.33, 41084.78, 40519.08, 40755.75
09/04/24, 40872.06, 41172.59, 40840.89, 40974.97
09/03/24, 41489.67, 41489.67, 40778.09, 40936.93
08/30/24, 41366.16, 41585.21, 41145.85, 41563.08
08/29/24, 41345.50, 41577.97, 41086.81, 41335.05
08/28/24, 41250.17, 41351.11, 40842.29, 41091.42
08/27/24, 41186.28, 41271.75, 41109.42, 41250.50
08/26/24, 41200.84, 41420.05, 41140.23, 41240.52
08/23/24, 40879.12, 41207.92, 40842.96, 41175.08
08/22/24, 40932.23, 41026.64, 40584.47, 40712.78
08/21/24, 40881.03, 40974.40, 40738.43, 40890.49
08/20/24, 40874.52, 40909.38, 40756.65, 40834.97
08/19/24, 40670.83, 40907.32, 40670.83, 40896.53
08/16/24, 40528.86, 40726.03, 40453.58, 40659.76
08/15/24, 40295.74, 40590.51, 40295.74, 40563.06
08/14/24, 39800.59, 40068.75, 39737.20, 40008.39
08/13/24, 39445.27, 39792.80, 39392.41, 39765.64
08/12/24, 39556.01, 39587.06, 39251.72, 39357.01
08/09/24, 39408.06, 39628.66, 39230.43, 39497.54
08/08/24, 38940.38, 39508.40, 38922.79, 39446.49
08/07/24, 39230.09, 39477.96, 38731.51, 38763.45
08/06/24, 38736.22, 39449.53, 38638.30, 38997.66
08/05/24, 39056.19, 39056.19, 38499.27, 38703.27
08/02/24, 40075.33, 40075.33, 39358.68, 39737.26
08/01/24, 40916.96, 41096.66, 40098.57, 40347.97
07/31/24, 40768.88, 41198.63, 40655.89, 40842.79
07/30/24, 40622.13, 40866.25, 40529.10, 40743.33
07/29/24, 40665.71, 40682.49, 40388.83, 40539.93
07/26/24, 40140.86, 40753.83, 40140.86, 40589.34
07/25/24, 39828.63, 40438.82, 39817.50, 39935.07
07/24/24, 40210.63, 40258.44, 39807.45, 39853.87
07/23/24, 40443.73, 40527.89, 40319.70, 40358.09
07/22/24, 40414.49, 40472.53, 40222.77, 40415.44
07/19/24, 40592.35, 40626.16, 40203.27, 40287.53
07/18/24, 41156.56, 41376.00, 40597.50, 40665.02
07/17/24, 40862.57, 41221.98, 40849.71, 41198.08
07/16/24, 40263.78, 40988.81, 40263.78, 40954.48
07/15/24, 40138.40, 40351.10, 40136.10, 40211.72
07/12/24, 39783.28, 40257.24, 39783.28, 40000.90
07/11/24, 39695.18, 39875.60, 39623.12, 39753.75
07/10/24, 39272.45, 39736.20, 39256.72, 39721.36
07/09/24, 39357.37, 39492.28, 39146.60, 39291.97
07/08/24, 39391.98, 39654.96, 39278.43, 39344.79
07/05/24, 39313.40, 39399.62, 39168.70, 39375.87
07/03/24, 39358.95, 39411.17, 39230.86, 39308.00
07/02/24, 39108.25, 39340.49, 39085.69, 39331.85
07/01/24, 39186.20, 39438.36, 39037.94, 39169.52
06/28/24, 39092.39, 39443.60, 38937.15, 39118.86
06/27/24, 39107.10, 39250.69, 39026.75, 39164.06
06/26/24, 39063.15, 39183.74, 38908.99, 39127.80
06/25/24, 39398.79, 39423.26, 38997.23, 39112.16
06/24/24, 39184.49, 39571.23, 39184.49, 39411.21
06/21/24, 39208.51, 39257.18, 39061.67, 39150.33
06/20/24, 38804.73, 39232.50, 38778.46, 39134.76
06/18/24, 38779.12, 38936.93, 38727.67, 38834.86
06/17/24, 38565.18, 38839.88, 38431.95, 38778.10
06/14/24, 38528.39, 38595.24, 38305.85, 38589.16
06/13/24, 38677.12, 38712.21, 38407.70, 38647.10
06/12/24, 38950.65, 39120.26, 38621.45, 38712.21
06/11/24, 38795.71, 38795.71, 38446.24, 38747.42
06/10/24, 38784.90, 38877.86, 38665.45, 38868.04
06/07/24, 38861.24, 39105.23, 38751.85, 38798.99
06/06/24, 38825.40, 39004.16, 38735.99, 38886.17
06/05/24, 38774.82, 38844.32, 38548.77, 38807.33
06/04/24, 38518.86, 38786.62, 38397.82, 38711.29
06/03/24, 38709.99, 38735.61, 38247.22, 38571.03
05/31/24, 38140.26, 38719.43, 38092.27, 38686.32
05/30/24, 38368.35, 38493.60, 38000.96, 38111.48
05/29/24, 38716.28, 38716.28, 38413.67, 38441.54
05/28/24, 39028.99, 39028.99, 38706.14, 38852.86
05/24/24, 39089.23, 39220.31, 39020.29, 39069.59
05/23/24, 39694.95, 39694.95, 39025.51, 39065.26
05/22/24, 39863.33, 39890.91, 39559.09, 39671.04
05/21/24, 39804.40, 39905.80, 39778.73, 39872.99
05/20/24, 39989.76, 40077.40, 39787.09, 39806.77
05/17/24, 39911.72, 40010.88, 39858.86, 40003.59
05/16/24, 39912.34, 40051.05, 39864.68, 39869.38
05/15/24, 39615.10, 39935.04, 39615.10, 39908.00
05/14/24, 39466.76, 39616.41, 39371.92, 39558.11
05/13/24, 39591.28, 39647.39, 39403.05, 39431.51
05/10/24, 39466.52, 39579.88, 39406.26, 39512.84
05/09/24, 39064.27, 39413.66, 38988.85, 39387.76
05/08/24, 38818.90, 39094.74, 38814.99, 39056.39
05/07/24, 38858.94, 38977.61, 38840.40, 38884.26
05/06/24, 38762.43, 38886.47, 38689.38, 38852.27
05/03/24, 38709.36, 38808.52, 38518.28, 38675.68
05/02/24, 38075.65, 38295.29, 37895.66, 38225.66
05/01/24, 37845.56, 38349.20, 37780.54, 37903.29
04/30/24, 38337.40, 38337.40, 37810.12, 37815.92
04/29/24, 38282.16, 38406.20, 38215.47, 38386.09
04/26/24, 38114.70, 38337.64, 38065.05, 38239.66
04/25/24, 38052.09, 38157.22, 37754.38, 38085.80
04/24/24, 38552.79, 38552.79, 38310.55, 38460.92
04/23/24, 38356.07, 38561.50, 38297.72, 38503.69
04/22/24, 38116.89, 38447.16, 37985.07, 38239.98
04/19/24, 37801.98, 38102.57, 37781.61, 37986.40
04/18/24, 37847.21, 38083.76, 37681.52, 37775.38
04/17/24, 37949.67, 38036.70, 37611.56, 37753.31
04/16/24, 37992.22, 37992.22, 37713.70, 37798.97
04/15/24, 38075.38, 38386.81, 37657.79, 37735.11
04/12/24, 38319.14, 38319.14, 37877.30, 37983.24
04/11/24, 38523.26, 38598.98, 38197.28, 38459.08
04/10/24, 38662.28, 38662.28, 38304.66, 38461.51
04/09/24, 38983.66, 38992.89, 38572.09, 38883.67
04/08/24, 38916.42, 39013.20, 38857.70, 38892.80
04/05/24, 38664.98, 39040.17, 38602.18, 38904.04
04/04/24, 39343.60, 39421.35, 38559.42, 38596.98
04/03/24, 39139.59, 39305.76, 39017.13, 39127.14
04/02/24, 39256.27, 39256.27, 39051.70, 39170.24
04/01/24, 39807.93, 39815.00, 39491.22, 39566.85
03/28/24, 39763.74, 39868.59, 39717.25, 39807.37
03/27/24, 39461.98, 39769.41, 39461.98, 39760.08
03/26/24, 39338.32, 39439.44, 39277.19, 39282.33
03/25/24, 39410.54, 39430.17, 39296.03, 39313.64
03/22/24, 39774.06, 39824.76, 39469.53, 39475.90
03/21/24, 39661.03, 39889.05, 39589.23, 39781.37
03/20/24, 39072.05, 39529.13, 38988.65, 39512.13
03/19/24, 38819.61, 39122.71, 38761.28, 39110.76
03/18/24, 38826.93, 38898.41, 38760.79, 38790.43
03/15/24, 38809.65, 38928.13, 38618.20, 38714.77
03/14/24, 39122.39, 39160.25, 38704.36, 38905.66
03/13/24, 39054.58, 39201.94, 38937.92, 39043.32
03/12/24, 38883.32, 39071.56, 38711.39, 39005.49
03/11/24, 38667.21, 38794.76, 38483.25, 38769.66
03/08/24, 38776.80, 38971.15, 38705.03, 38722.69
03/07/24, 38784.30, 38910.35, 38730.13, 38791.35
03/06/24, 38721.15, 38858.13, 38570.80, 38661.05
03/05/24, 38906.98, 38906.98, 38457.83, 38585.19
03/04/24, 38968.77, 39087.86, 38913.30, 38989.83
03/01/24, 38989.51, 39120.36, 38850.50, 39087.38
02/29/24, 39013.75, 39074.13, 38809.28, 38996.39
02/28/24, 38938.08, 38956.46, 38741.68, 38949.02
02/27/24, 39087.90, 39087.90, 38881.90, 38972.41
02/26/24, 39144.79, 39245.89, 39025.80, 39069.23
02/23/24, 39127.97, 39282.28, 39094.36, 39131.53
02/22/24, 38845.19, 39149.61, 38802.07, 39069.11
02/21/24, 38483.66, 38618.03, 38338.58, 38612.24
02/20/24, 38576.26, 38663.09, 38460.20, 38563.80
02/16/24, 38751.71, 38825.03, 38583.24, 38627.99
02/15/24, 38397.94, 38781.89, 38397.94, 38773.12
02/14/24, 38372.67, 38442.56, 38194.62, 38424.27
02/13/24, 38699.17, 38699.17, 38039.86, 38272.75
02/12/24, 38656.76, 38927.08, 38628.92, 38797.38
02/09/24, 38731.97, 38734.28, 38567.90, 38671.69
02/08/24, 38702.11, 38755.68, 38544.36, 38726.33
02/07/24, 38613.89, 38748.11, 38571.01, 38677.36
02/06/24, 38392.90, 38545.28, 38350.46, 38521.36
02/05/24, 38546.77, 38633.88, 38220.40, 38380.12
02/02/24, 38448.10, 38783.62, 38336.57, 38654.42
02/01/24, 38175.34, 38522.50, 38106.84, 38519.84
01/31/24, 38426.78, 38588.86, 38139.66, 38150.30
01/30/24, 38298.23, 38497.39, 38257.80, 38467.31
01/29/24, 38115.83, 38343.93, 38061.17, 38333.45
01/26/24, 38006.68, 38215.31, 37997.77, 38109.43
01/25/24, 37862.57, 38057.53, 37796.47, 38049.13
01/24/24, 37975.37, 38064.22, 37795.71, 37806.39
01/23/24, 37959.79, 37980.73, 37804.99, 37905.45
01/22/24, 37919.55, 38109.20, 37911.61, 38001.81
01/19/24, 37572.50, 37933.73, 37451.71, 37863.80
01/18/24, 37300.81, 37522.29, 37122.95, 37468.61
01/17/24, 37281.86, 37371.66, 37132.89, 37266.67
01/16/24, 37493.54, 37543.18, 37201.39, 37361.12
01/12/24, 37818.05, 37825.27, 37470.19, 37592.98
01/11/24, 37747.14, 37801.90, 37424.28, 37711.02
01/10/24, 37552.91, 37740.77, 37524.40, 37695.73
01/09/24, 37523.55, 37552.38, 37373.30, 37525.16
01/08/24, 37327.37, 37692.92, 37249.24, 37683.01
01/05/24, 37455.46, 37623.62, 37323.82, 37466.11
01/04/24, 37425.28, 37716.41, 37425.28, 37440.34
01/03/24, 37629.23, 37629.23, 37401.85, 37430.19
01/02/24, 37566.22, 37790.08, 37495.91, 37715.04
12/29/23, 37701.63, 37759.43, 37538.80, 37689.54
12/28/23, 37661.52, 37778.85, 37650.98, 37710.10
12/27/23, 37518.62, 37683.70, 37488.60, 37656.52
12/26/23, 37405.90, 37617.99, 37371.83, 37545.33
12/22/23, 37349.27, 37534.52, 37268.88, 37385.97
12/21/23, 37225.32, 37418.76, 37127.05, 37404.35
12/20/23, 37520.13, 37641.30, 37073.04, 37082.00
12/19/23, 37311.82, 37562.83, 37311.82, 37557.92
12/18/23, 37330.14, 37393.45, 37284.85, 37306.02
12/15/23, 37194.50, 37347.60, 37092.02, 37305.16
12/14/23, 37115.63, 37287.50, 37051.52, 37248.35
12/13/23, 36601.80, 37094.85, 36523.59, 37090.24
12/12/23, 36442.10, 36596.11, 36373.22, 36577.94
12/11/23, 36254.33, 36416.18, 36231.19, 36404.93
12/08/23, 36084.82, 36296.20, 36061.64, 36247.87
12/07/23, 36124.17, 36164.17, 36021.95, 36117.38
12/06/23, 36183.73, 36292.58, 36024.25, 36054.43
12/05/23, 36135.65, 36164.68, 36010.85, 36124.56
12/04/23, 36089.38, 36238.18, 36029.69, 36204.44
12/01/23, 35914.45, 36264.85, 35914.45, 36245.50
11/30/23, 35596.57, 35970.70, 35592.22, 35950.89
11/29/23, 35436.80, 35579.13, 35405.89, 35430.42
11/28/23, 35332.13, 35518.67, 35307.73, 35416.98
11/27/23, 35376.44, 35410.37, 35280.57, 35333.47
11/24/23, 35299.90, 35399.44, 35299.90, 35390.15
11/22/23, 35189.33, 35315.20, 35155.80, 35273.03
11/21/23, 35104.84, 35118.04, 35038.44, 35088.29
11/20/23, 34932.49, 35227.48, 34907.98, 35151.04
11/17/23, 34964.82, 35028.22, 34882.82, 34947.28
11/16/23, 34868.03, 35022.46, 34818.03, 34945.47
11/15/23, 34906.72, 35051.10, 34868.48, 34991.21
11/14/23, 34581.20, 34931.01, 34581.20, 34827.70
11/13/23, 34259.25, 34405.84, 34205.81, 34337.87
11/10/23, 34020.82, 34310.36, 33905.62, 34283.10
11/09/23, 34163.71, 34167.54, 33859.77, 33891.94
11/08/23, 34185.92, 34252.75, 33996.20, 34112.27
11/07/23, 34075.65, 34206.98, 34026.72, 34152.60
11/06/23, 34092.61, 34167.26, 33989.72, 34095.86
11/03/23, 33988.83, 34163.63, 33946.60, 34061.32
11/02/23, 33457.82, 33852.96, 33450.03, 33839.08
11/01/23, 33081.87, 33337.15, 33010.85, 33274.58
10/31/23, 33029.11, 33070.28, 32787.12, 33052.87
10/30/23, 32537.54, 33002.97, 32537.54, 32928.96
10/27/23, 32782.40, 32787.56, 32327.20, 32417.59
10/26/23, 33017.17, 33105.03, 32743.99, 32784.30
10/25/23, 33203.53, 33267.91, 32989.72, 33035.93
10/24/23, 33089.64, 33272.19, 32988.43, 33141.38
10/23/23, 32993.02, 33234.85, 32892.19, 32936.41
10/20/23, 33365.27, 33425.77, 33118.12, 33127.28
10/19/23, 33669.52, 33852.39, 33368.58, 33414.17
10/18/23, 33960.25, 33991.51, 33598.64, 33665.08
10/17/23, 33869.84, 34147.63, 33854.70, 33997.65
10/16/23, 33832.42, 34088.98, 33832.42, 33984.54
10/13/23, 33733.34, 33957.72, 33551.58, 33670.29
10/12/23, 33845.65, 33863.80, 33455.60, 33631.14
10/11/23, 33822.20, 33882.55, 33612.25, 33804.87
10/10/23, 33683.41, 33898.22, 33604.32, 33739.30
10/09/23, 33259.84, 33631.81, 33253.69, 33604.65
10/06/23, 33040.70, 33557.69, 32846.94, 33407.58
10/05/23, 33099.23, 33174.38, 32941.56, 33119.57
10/04/23, 33034.18, 33156.45, 32873.23, 33129.55
10/03/23, 33318.84, 33398.54, 32916.20, 33002.38
10/02/23, 33455.50, 33511.91, 33219.56, 33433.35
09/29/23, 33882.61, 33893.68, 33407.45, 33507.50
09/28/23, 33519.44, 33777.90, 33473.50, 33666.34
09/27/23, 33682.81, 33731.65, 33306.30, 33550.27
09/26/23, 33862.68, 33879.93, 33569.60, 33618.88
09/25/23, 33907.59, 34017.53, 33780.67, 34006.88
09/22/23, 34077.08, 34156.15, 33947.24, 33963.84
09/21/23, 34332.23, 34378.30, 34058.72, 34070.42
09/20/23, 34575.50, 34776.28, 34434.29, 34440.88
09/19/23, 34571.84, 34597.56, 34311.69, 34517.73
09/18/23, 34612.29, 34725.06, 34545.35, 34624.30
09/15/23, 34902.04, 34902.04, 34572.27, 34618.24
09/14/23, 34687.50, 34977.97, 34687.50, 34907.11
09/13/23, 34667.28, 34767.11, 34509.95, 34575.53
09/12/23, 34620.02, 34852.61, 34560.55, 34645.99
09/11/23, 34650.01, 34784.52, 34578.59, 34663.72
09/08/23, 34487.41, 34627.85, 34473.57, 34576.59
09/07/23, 34351.18, 34560.86, 34351.18, 34500.73
09/06/23, 34611.68, 34611.68, 34291.56, 34443.19
09/05/23, 34843.22, 34871.26, 34635.63, 34641.97
09/01/23, 34876.24, 34979.18, 34720.70, 34837.71
08/31/23, 34909.09, 35070.21, 34719.77, 34721.91
08/30/23, 34847.80, 35025.57, 34811.74, 34890.24
08/29/23, 34531.12, 34864.42, 34531.12, 34852.67
08/28/23, 34441.64, 34652.91, 34441.64, 34559.98
08/25/23, 34217.06, 34441.91, 34029.22, 34346.90
08/24/23, 34439.83, 34694.68, 34093.65, 34099.42
08/23/23, 34338.59, 34534.72, 34321.00, 34472.98
08/22/23, 34494.17, 34514.04, 34256.84, 34288.83
08/21/23, 34531.28, 34570.96, 34248.46, 34463.69
08/18/23, 34368.36, 34587.07, 34263.19, 34500.66
08/17/23, 34829.61, 34888.48, 34440.73, 34474.83
08/16/23, 34914.96, 35133.56, 34757.37, 34765.74
08/15/23, 35219.37, 35219.37, 34908.50, 34946.39
08/14/23, 35273.89, 35335.45, 35169.97, 35307.63
08/11/23, 35111.36, 35354.60, 35059.99, 35281.40
08/10/23, 35231.54, 35578.58, 35107.60, 35176.15
08/09/23, 35324.28, 35370.89, 35058.73, 35123.36
08/08/23, 35345.40, 35346.64, 35007.41, 35314.49
08/07/23, 35125.60, 35497.38, 35125.60, 35473.13
08/04/23, 35230.13, 35506.88, 35033.76, 35065.62
08/03/23, 35194.56, 35348.20, 35122.32, 35215.89
08/02/23, 35551.92, 35551.92, 35226.26, 35282.52
08/01/23, 35585.99, 35679.13, 35526.61, 35630.68
07/31/23, 35465.97, 35566.95, 35430.22, 35559.53
07/28/23, 35443.49, 35565.51, 35355.15, 35459.29
07/27/23, 35558.79, 35645.35, 35216.58, 35282.72
07/26/23, 35345.99, 35633.61, 35306.27, 35520.12
07/25/23, 35421.49, 35527.57, 35365.26, 35438.07
07/24/23, 35230.79, 35463.97, 35230.79, 35411.24
07/21/23, 35274.32, 35340.66, 35186.05, 35227.69
07/20/23, 35091.98, 35372.77, 35091.98, 35225.18
07/19/23, 34991.21, 35234.05, 34991.21, 35061.21
07/18/23, 34597.08, 34986.36, 34530.61, 34951.93
07/17/23, 34499.74, 34665.15, 34418.72, 34585.35
07/14/23, 34425.33, 34592.26, 34425.33, 34509.03
07/13/23, 34412.31, 34482.26, 34365.33, 34395.14
07/12/23, 34395.28, 34586.94, 34308.78, 34347.43
07/11/23, 34056.94, 34288.87, 33993.01, 34261.42
07/10/23, 33705.68, 33958.36, 33705.68, 33944.40
07/07/23, 33837.07, 34036.38, 33716.75, 33734.88
07/06/23, 34171.39, 34171.39, 33771.47, 33922.26
07/05/23, 34344.72, 34376.11, 34226.98, 34288.64
07/03/23, 34369.78, 34465.60, 34286.54, 34418.47
06/30/23, 34269.92, 34467.35, 34269.92, 34407.60
06/29/23, 33854.57, 34147.68, 33828.63, 34122.42
06/28/23, 33881.38, 33903.76, 33755.92, 33852.66
06/27/23, 33739.03, 33975.65, 33730.39, 33926.74
06/26/23, 33730.79, 33819.49, 33610.32, 33714.71
06/23/23, 33835.66, 33835.66, 33646.49, 33727.43
06/22/23, 33900.47, 34003.56, 33835.39, 33946.71
06/21/23, 33990.56, 34097.93, 33876.17, 33951.52
06/20/23, 34206.66, 34206.66, 33915.93, 34053.87
06/16/23, 34464.02, 34588.68, 34285.69, 34299.12
06/15/23, 33945.98, 34488.98, 33945.98, 34408.06
06/14/23, 34044.70, 34151.42, 33783.55, 33979.33
06/13/23, 34111.08, 34310.28, 34107.98, 34212.12
06/12/23, 33906.80, 34077.84, 33878.46, 34066.33
06/09/23, 33852.44, 33975.32, 33787.16, 33876.78
06/08/23, 33656.98, 33873.81, 33630.04, 33833.61
06/07/23, 33562.47, 33708.78, 33546.11, 33665.02
06/06/23, 33547.67, 33631.25, 33399.69, 33573.28
06/05/23, 33771.13, 33804.22, 33552.79, 33562.86
06/02/23, 33187.58, 33805.00, 33187.58, 33762.76
06/01/23, 32929.85, 33167.75, 32704.51, 33061.57
05/31/23, 32948.71, 32984.83, 32739.73, 32908.27
05/30/23, 33103.65, 33132.70, 32893.97, 33042.78
05/26/23, 32795.50, 33162.06, 32795.50, 33093.34
05/25/23, 32854.26, 32870.43, 32586.56, 32764.65
05/24/23, 33021.76, 33031.75, 32752.44, 32799.92
05/23/23, 33190.60, 33310.17, 33013.29, 33055.51
05/22/23, 33408.54, 33512.30, 33207.85, 33286.58
05/19/23, 33582.95, 33652.90, 33336.66, 33426.63
05/18/23, 33374.56, 33579.91, 33212.09, 33535.91
05/17/23, 33092.48, 33472.38, 33050.41, 33420.77
05/16/23, 33275.37, 33290.85, 33006.19, 33012.14
05/15/23, 33321.21, 33400.30, 33161.93, 33348.60
05/12/23, 33370.58, 33406.40, 33110.61, 33300.62
05/11/23, 33383.89, 33389.88, 33127.70, 33309.51
05/10/23, 33707.20, 33772.09, 33239.45, 33531.33
05/09/23, 33589.85, 33656.40, 33509.72, 33561.81
05/08/23, 33715.15, 33747.49, 33509.23, 33618.69
05/05/23, 33248.55, 33748.43, 33248.55, 33674.38
05/04/23, 33347.78, 33354.86, 32937.50, 33127.74
05/03/23, 33726.64, 33811.84, 33396.05, 33414.24
05/02/23, 34017.62, 34017.75, 33436.66, 33684.53
05/01/23, 34116.81, 34257.83, 34030.14, 34051.70
04/28/23, 33797.43, 34104.56, 33728.40, 34098.16
04/27/23, 33381.66, 33859.75, 33374.65, 33826.16
04/26/23, 33596.34, 33645.83, 33235.85, 33301.87
04/25/23, 33828.34, 33875.49, 33525.39, 33530.83
04/24/23, 33805.04, 33891.15, 33726.09, 33875.40
04/21/23, 33793.60, 33858.83, 33688.57, 33808.96
04/20/23, 33740.60, 33875.39, 33677.74, 33786.62
04/19/23, 33889.83, 33957.98, 33814.65, 33897.01
04/18/23, 33965.16, 34018.62, 33791.89, 33976.63
04/17/23, 33930.46, 33991.23, 33796.91, 33987.18
04/14/23, 33981.71, 34082.94, 33730.85, 33886.47
04/13/23, 33668.97, 34054.99, 33605.17, 34029.69
04/12/23, 33764.21, 33895.43, 33593.32, 33646.50
04/11/23, 33586.75, 33781.29, 33586.75, 33684.79
04/10/23, 33425.25, 33590.24, 33343.43, 33586.52
04/06/23, 33420.96, 33525.96, 33325.37, 33485.29
04/05/23, 33394.60, 33543.84, 33376.27, 33482.72
04/04/23, 33594.79, 33634.72, 33275.62, 33402.38
04/03/23, 33245.78, 33632.90, 33245.78, 33601.15
03/31/23, 32901.96, 33291.00, 32901.96, 33274.15
03/30/23, 32807.43, 32905.80, 32682.87, 32859.03
03/29/23, 32566.54, 32728.04, 32539.94, 32717.60
03/28/23, 32434.85, 32551.01, 32295.50, 32394.25
03/27/23, 32276.72, 32564.00, 32276.72, 32432.08
03/24/23, 32038.22, 32257.24, 31805.18, 32237.53
03/23/23, 32101.49, 32511.49, 31864.74, 32105.25
03/22/23, 32570.19, 32761.89, 32020.46, 32030.11
03/21/23, 32420.71, 32593.68, 32346.12, 32560.60
03/20/23, 31872.33, 32280.07, 31872.33, 32244.58
03/17/23, 32217.32, 32217.32, 31728.70, 31861.98
03/16/23, 31827.65, 32281.61, 31571.46, 32246.55
03/15/23, 31759.87, 31906.47, 31429.82, 31874.57
03/14/23, 32055.29, 32306.59, 31805.40, 32155.40
03/13/23, 31819.93, 32240.35, 31624.87, 31819.14
03/10/23, 32185.14, 32422.10, 31783.41, 31909.64
03/09/23, 32876.83, 32990.46, 32190.60, 32254.86
03/08/23, 32872.08, 32903.44, 32612.70, 32798.40
03/07/23, 33428.31, 33453.25, 32838.21, 32856.46
03/06/23, 33425.32, 33572.22, 33383.47, 33431.44
03/03/23, 33076.33, 33405.82, 33008.41, 33390.97
03/02/23, 32780.97, 33083.45, 32665.85, 33003.57
03/01/23, 32656.37, 32746.15, 32500.71, 32661.84
02/28/23, 32873.47, 32873.47, 32636.43, 32656.70
02/27/23, 32906.16, 33189.28, 32814.18, 32889.09
